Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.619000    0.16    0.18    0.03
0.620000    0.17    0.19    0.03
0.621000    0.18    0.19    0.03
0.622000    0.18    0.19    0.03
0.623000    0.19    0.20    0.02
0.624000    0.20    0.21    0.02
0.625000    0.20    0.21    0.02
0.626000    0.20    0.20    0.01
0.627000    0.20    0.20    0.02
0.628000    0.20    0.19    0.01
0.629000    0.20    0.19    0.01
0.630000    0.21    0.19    0.00
0.631000    0.21    0.20    0.00
0.632000    0.21    0.20    0.01
0.633000    0.21    0.21    0.02
0.634000    0.22    0.23    0.02
0.635000    0.23    0.24    0.02
0.636000    0.23    0.24    0.03
0.637000    0.21    0.25    0.04
0.638000    0.21    0.25    0.05
0.639000    0.20    0.24    0.05
0.640000    0.19    0.23    0.05
0.641000    0.18    0.22    0.05
0.642000    0.18    0.22    0.05
0.643000    0.18    0.21    0.04
0.644000    0.17    0.20    0.04
0.645000    0.16    0.19    0.03
0.646000    0.17    0.19    0.03
0.647000    0.18    0.19    0.02
0.648000    0.19    0.19    0.02
0.649000    0.17    0.19    0.03
0.650000    0.17    0.19    0.03
0.651000    0.17    0.19    0.04
0.652000    0.17    0.20    0.04
0.653000    0.17    0.20    0.05
0.654000    0.16    0.21    0.07
0.655000    0.15    0.22    0.08
0.656000    0.14    0.22    0.09
0.657000    0.14    0.22    0.10
0.658000    0.13    0.22    0.11
0.659000    0.12    0.21    0.11
0.660000    0.11    0.19    0.10
0.661000    0.09    0.17    0.09
0.662000    0.08    0.15    0.09
0.663000    0.06    0.13    0.09
0.664000    0.04    0.12    0.09
0.665000    0.04    0.11    0.09
0.666000    0.04    0.10    0.08
0.667000    0.04    0.11    0.09
0.668000    0.05    0.11    0.09
0.669000    0.05    0.12    0.09
0.670000    0.05    0.13    0.09
0.671000    0.05    0.13    0.09
0.672000    0.06    0.13    0.09
0.673000    0.06    0.14    0.09
0.674000    0.06    0.14    0.10
0.675000    0.06    0.14    0.10
0.676000    0.04    0.14    0.11
0.677000    0.02    0.12    0.11
0.678000    0.00    0.11    0.12
0.679000   -0.02    0.08    0.12
0.680000   -0.03    0.08    0.12
0.681000   -0.04    0.07    0.12
0.682000   -0.05    0.06    0.12
0.683000   -0.06    0.05    0.12
0.684000   -0.06    0.04    0.12
0.685000   -0.06    0.04    0.11
0.686000   -0.07    0.03    0.12
0.687000   -0.07    0.03    0.12
0.688000   -0.08    0.02    0.11
0.689000   -0.08    0.01    0.11
0.690000   -0.09    0.00    0.11
0.691000   -0.10    0.00    0.12
0.692000   -0.11    0.00    0.13
0.693000   -0.11    0.00    0.13
0.694000   -0.11    0.00    0.13
0.695000   -0.11    0.00    0.13
0.696000   -0.11    0.00    0.13
0.697000   -0.12    0.00    0.13
0.698000   -0.12    0.00    0.14
0.699000   -0.13    0.00    0.15
0.700000   -0.14   -0.01    0.15
0.701000   -0.14   -0.02    0.15
0.702000   -0.16   -0.03    0.15
0.703000   -0.18   -0.05    0.15
0.704000   -0.19   -0.06    0.15
0.705000   -0.19   -0.06    0.14
0.706000   -0.19   -0.06    0.14
0.707000   -0.17   -0.06    0.14
0.708000   -0.18   -0.06    0.13
0.709000   -0.18   -0.06    0.13
0.710000   -0.18   -0.06    0.14
0.711000   -0.17   -0.04    0.14
0.712000   -0.17   -0.03    0.15
0.713000   -0.16   -0.02    0.15
0.714000   -0.16   -0.02    0.15
0.715000   -0.15   -0.02    0.15
0.716000   -0.15   -0.02    0.15
0.717000   -0.17   -0.02    0.15
0.718000   -0.17   -0.03    0.15
0.719000   -0.18   -0.04    0.16
0.720000   -0.19   -0.05    0.16
0.721000   -0.20   -0.06    0.16
0.722000   -0.22   -0.08    0.16
0.723000   -0.24   -0.10    0.16
0.724000   -0.26   -0.12    0.16
0.725000   -0.28   -0.14    0.15
0.726000   -0.28   -0.15    0.15
0.727000   -0.29   -0.16    0.15
0.728000   -0.29   -0.17    0.14
0.729000   -0.28   -0.16    0.14
0.730000   -0.26   -0.13    0.14
0.731000   -0.23   -0.10    0.15
0.732000   -0.21   -0.08    0.15
0.733000   -0.20   -0.06    0.16
0.734000   -0.20   -0.06    0.17
0.735000   -0.20   -0.05    0.17
0.736000   -0.19   -0.04    0.17
0.737000   -0.20   -0.04    0.17
0.738000   -0.20   -0.04    0.18
0.739000   -0.20   -0.04    0.18
0.740000   -0.19   -0.04    0.17
0.741000   -0.18   -0.04    0.16
0.742000   -0.17   -0.03    0.15
0.743000   -0.16   -0.03    0.15
0.744000   -0.16   -0.03    0.14
0.745000   -0.15   -0.03    0.14
0.746000   -0.15   -0.03    0.13
0.747000   -0.17   -0.05    0.14
0.748000   -0.19   -0.06    0.15
0.749000   -0.21   -0.08    0.15
0.750000   -0.21   -0.08    0.15
0.751000   -0.21   -0.08    0.15
0.752000   -0.21   -0.09    0.14
0.753000   -0.20   -0.08    0.14
0.754000   -0.20   -0.07    0.15
0.755000   -0.20   -0.06    0.15
0.756000   -0.19   -0.06    0.15
0.757000   -0.20   -0.07    0.14
0.758000   -0.19   -0.06    0.14
0.759000   -0.17   -0.04    0.14
0.760000   -0.15   -0.02    0.14
0.761000   -0.15   -0.02    0.13
0.762000   -0.14   -0.03    0.13
0.763000   -0.14   -0.03    0.13
0.764000   -0.14   -0.01    0.14
0.765000   -0.14   -0.01    0.14
0.766000   -0.14   -0.02    0.14
0.767000   -0.15   -0.02    0.15
0.768000   -0.16   -0.04    0.14
0.769000   -0.17   -0.06    0.14
0.770000   -0.18   -0.06    0.14
0.771000   -0.18   -0.06    0.14
0.772000   -0.18   -0.06    0.14
0.773000   -0.19   -0.07    0.14
0.774000   -0.19   -0.08    0.13
0.775000   -0.19   -0.09    0.13
0.776000   -0.20   -0.10    0.12
0.777000   -0.21   -0.11    0.12
0.778000   -0.21   -0.10    0.13
0.779000   -0.21   -0.09    0.14
